Designator,Mid X,Mid Y,Rotation,Layer
C1,175.42,-52.75,270.0,top
C2,175.42,-36.25,270.0,top
C3,194.92,-36.25,270.0,top
C4,194.92,-53.25,270.0,top
D1,211.0,-112.73,270.0,top
D2,206.0,-112.73,270.0,top
D3,201.0,-112.77,270.0,top
D4,196.0,-112.73,270.0,top
D5,114.19,-98.0,0.0,top
D6,94.27,-98.0,0.0,top
D7,134.19,-98.0,0.0,top
D8,154.19,-98.0,0.0,top
H1,93.92,-107.0,0.0,top
H2,113.92,-107.0,0.0,top
H3,133.92,-107.0,0.0,top
H8,153.92,-107.0,0.0,top
J1,43.0,-101.0,0.0,top
J10,42.0,-123.1,0.0,top
J2,66.0,-101.0,0.0,top
J3,99.46,-30.375,180.0,top
J4,174.25,-126.0,0.0,top
J5,203.5,-126.0,0.0,top
J6,43.0,-76.0,0.0,top
J7,66.0,-76.0,0.0,top
J8,43.0,-51.0,0.0,top
J9,65.0,-123.1,0.0,top
Q1,158.88,-61.5,180.0,top
Q2,211.62,-45.0,0.0,top
Q3,158.88,-45.0,180.0,top
Q4,211.62,-62.0,0.0,top
R1,200.0,-74.92,90.0,top
R10,166.5,-51.525,0.0,top
R11,166.5,-38.5,180.0,top
R12,171.0,-75.0,270.0,top
R13,166.5,-34.5,0.0,top
R14,204.0,-38.5,0.0,top
R15,204.0,-34.5,180.0,top
R16,175.0,-74.92,270.0,top
R17,179.0,-74.92,270.0,top
R18,220.0,-74.92,270.0,top
R19,216.0,-74.92,270.0,top
R2,204.0,-74.92,90.0,top
R20,196.0,-74.92,270.0,top
R21,192.0,-74.92,270.0,top
R22,200.0,-44.0,0.0,top
R23,170.84,-44.5,180.0,top
R24,171.0,-61.0,180.0,top
R25,147.0,-74.92,90.0,top
R26,142.0,-74.92,90.0,top
R27,152.0,-74.92,90.0,top
R28,204.0,-51.5,180.0,top
R3,200.0,-61.0,0.0,top
R4,183.0,-74.92,270.0,top
R5,157.0,-74.92,90.0,top
R6,204.0,-55.5,0.0,top
R7,208.0,-74.92,90.0,top
R8,212.0,-74.92,90.0,top
R9,166.5,-55.5,180.0,top
SW1,94.0,-121.91,0.0,top
SW10,153.92,-121.91,0.0,top
SW2,113.92,-121.91,0.0,top
SW3,133.92,-121.91,0.0,top
SW4,156.42,-36.26,0.0,top
SW5,156.42,-53.255,0.0,top
SW6,199.81,-101.19,90.0,top
SW7,213.92,-35.77,0.0,top
SW8,173.81,-115.19,90.0,top
SW9,213.92,-53.27,0.0,top
U1,126.0,-41.46,270.0,top
U2,185.0,-43.5,0.0,top
U3,126.0,-61.46,270.0,top
